country;subject_descriptor;units;scale;y2017;y2018;y2019;y2020;y2021;y2022
Italy;Gross domestic product per capita, constant prices;National currency;Units;26,403.196;26,682.308;26,592.729;26,843.990;27,032.567;27,210.946
Jamaica;Gross domestic product per capita, constant prices;National currency;Units;266,925.087;269,164.752;272,363.869;276,082.510;280,572.746;285,554.613
Japan;Gross domestic product per capita, constant prices;National currency;Units;4,182,474.398;4,224,798.096;4,276,553.372;4,310,588.655;4,350,171.978;4,390,220.804
Jordan;Gross domestic product per capita, constant prices;National currency;Units;2,929.022;2,926.833;2,941.915;2,971.542;3,015.807;3,074.918
Kazakhstan;Gross domestic product per capita, constant prices;National currency;Units;1,049,067.826;1,076,106.460;1,094,337.595;1,112,918.984;1,132,770.377;1,153,113.234
Kenya;Gross domestic product per capita, constant prices;National currency;Units;96,512.208;99,483.251;102,451.473;105,627.961;109,198.195;113,031.135
Kiribati;Gross domestic product per capita, constant prices;National currency;Units;1,655.626;1,664.170;1,673.147;1,683.110;1,688.630;1,692.405
Korea;Gross domestic product per capita, constant prices;National currency;Units;30,240,411.958;30,921,538.184;31,582,047.342;32,350,280.610;33,138,291.911;33,940,537.143
Kosovo;Gross domestic product per capita, constant prices;National currency;Units;3,517.721;3,629.394;3,751.814;3,870.920;3,993.806;4,120.593
Kuwait;Gross domestic product per capita, constant prices;National currency;Units;8,827.678;8,737.721;8,709.260;8,721.175;8,729.653;8,706.871
Kyrgyz Republic;Gross domestic product per capita, constant prices;National currency;Units;27,562.780;27,955.589;28,436.233;28,852.155;29,353.772;30,094.667
Lao P.D.R.;Gross domestic product per capita, constant prices;National currency;Units;17,417,739.492;18,286,640.760;19,238,494.209;20,259,008.966;21,325,604.323;22,447,080.492
Latvia;Gross domestic product per capita, constant prices;National currency;Units;11,680.212;12,336.881;12,765.719;13,194.099;13,624.197;14,059.803
Lebanon;Gross domestic product per capita, constant prices;National currency;Units;10,587,756.563;10,594,800.390;10,781,342.916;11,075,802.663;11,471,804.653;11,969,394.073
Lesotho;Gross domestic product per capita, constant prices;National currency;Units;11,957.446;12,052.341;12,434.480;12,384.740;12,576.215;12,782.267
Liberia;Gross domestic product per capita, constant prices;National currency;Units;326.009;321.789;315.140;312.126;308.292;296.972
Libya;Gross domestic product per capita, constant prices;National currency;Units;3,182.896;3,714.866;3,835.192;3,850.465;3,867.168;3,885.334
Lithuania;Gross domestic product per capita, constant prices;National currency;Units;12,729.168;13,354.754;13,939.545;14,508.997;15,100.876;15,656.111
Luxembourg;Gross domestic product per capita, constant prices;National currency;Units;81,199.051;82,027.757;82,186.579;82,388.584;82,530.081;82,649.000
